"id","name","url","address","facility_type","license_type","capacity","ages"
1,"123abc Little Learners\' Academy","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=36396;search_require_client_code-2106=1;search_require_client_code-2101=1","9110 Railroad DriveSuite 150MANASSAS, VA  20111-7040","Child Day Center","Two Year","65","1 month-5 years11 months"
2,"4 Rs Preschool","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=35291;search_require_client_code-2106=1;search_require_client_code-2101=1","6745 Jefferson StreetHAYMARKET, VA  20169-2903","Child Day Center","Two Year","26","3 years-5 years11 months"
3,"A Blooming Child Petite Academy, LLC","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=37208;search_require_client_code-2106=1;search_require_client_code-2101=1","300 W. Clay StreetRICHMOND, VA  23220","Child Day Center","Two Year","35","1 month-12 years11 months"
4,"A Child\'s Day Learning Center","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=8479;search_require_client_code-2106=1;search_require_client_code-2101=1","1601 Todds LaneHAMPTON, VA  23666","Child Day Center","Two Year","77","2 years-12 years11 months"
5,"A Child\'s Place Preschool & Child Care Centers Lucks Lane Campus","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=12068;search_require_client_code-2106=1;search_require_client_code-2101=1","1211 Walton Bluff ParkwayMIDLOTHIAN, VA  23114","Child Day Center","Two Year","291","1 month-12 years11 months"
6,"A Child\'s Place Preschool & Child Care Centers-Ridgefield Campus","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=34888;search_require_client_code-2106=1;search_require_client_code-2101=1","11155 Ridgefield ParkwayHENRICO, VA  23233","Child Day Center","Two Year","141","0.0 years1.0 months-12.0 years11.0 months"
7,"A Child\'s Place at Hollin Hall","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=8679;search_require_client_code-2106=1;search_require_client_code-2101=1","1500 Shenandoah RoadALEXANDRIA, VA  22308","Child Day Center","Two Year","172","2 years-12 years11 months"
8,"A Child\'s World Head Start/Early Head Start Center","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=8502;search_require_client_code-2106=1;search_require_client_code-2101=1","600 Ridley CircleNEWPORT NEWS, VA  23607","Child Day Center","Two Year","100","1 month-4 years11 months"
9,"A Good Start Learning Center","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=43739;search_require_client_code-2106=1;search_require_client_code-2101=1","3800 Powell LaneUnit 4FALLS CHURCH, VA  22041","Child Day Center","Two Year","24","3 months-5 years11 months"
10,"A Heavenly Haven, Inc.","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=35727;search_require_client_code-2106=1;search_require_client_code-2101=1","15435 #L Warwick BoulevardNEWPORT NEWS, VA  23608","Child Day Center","Two Year","83","Birth-12 years11 months"
11,"A Kid\'s Place","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=19223;search_require_client_code-2106=1;search_require_client_code-2101=1","248 Loudoun Street, SWLEESBURG, VA  20175","Child Day Center","Two Year","48","1 year4 months-12 years11 months"
12,"A Little Peace of Mind Daycare and Learning Center, Inc.","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=26334;search_require_client_code-2106=1;search_require_client_code-2101=1","100 Arboretum PlaceNORTH CHESTERFIELD, VA  23236","Child Day Center","Two Year","125","Birth-12 years11 months"
13,"A Little Piece of Heaven Day Care, Inc.","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=26308;search_require_client_code-2106=1;search_require_client_code-2101=1","3500 New Kent HighwayQUINTON, VA  23141","Child Day Center","Two Year","63","Birth-12 years11 months"
14,"A+ Childcare & Learning Center","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=24667;search_require_client_code-2106=1;search_require_client_code-2101=1","3510 George Washington Memorial HwyYORKTOWN, VA  23693","Child Day Center","Two Year","177","1 month-12 years11 months"
15,"ABC Preschool","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=39547;search_require_client_code-2106=1;search_require_client_code-2101=1","1015 E. Market StreetCHARLOTTESVILLE, VA  22902","Child Day Center","Two Year","120","Birth-5 years11 months"
16,"ACAC Preschool at Adventure Central","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=38328;search_require_client_code-2106=1;search_require_client_code-2101=1","200 Four Seasons DriveCHARLOTTESVILLE, VA  22901","Child Day Center","Two Year","142","2 years-6 years11 months"
17,"ACCA Child Development Center","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=8276;search_require_client_code-2106=1;search_require_client_code-2101=1","7200 Columbia PikeANNANDALE, VA  22003","Child Day Center","Two Year","230","Birth-6 years11 months"
18,"ALIVE! Child Development Center","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=8287;search_require_client_code-2106=1;search_require_client_code-2101=1","2723 King StreetALEXANDRIA, VA  22302","Child Day Center","Two Year","32","3 years-5 years11 months"
19,"AOL Child Development Center","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=24706;search_require_client_code-2106=1;search_require_client_code-2101=1","44821 and 44825 Prentice DriveDULLES, VA  20166","Child Day Center","Two Year","437","1 month-12 years11 months"
20,"APPLE Academy of Central Presbyterian Church","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=36929;search_require_client_code-2106=1;search_require_client_code-2101=1","301 Euclid AvenueBRISTOL, VA  24201","Child Day Center","Two Year","100","1 month-12 years11 months"
21,"ARLINGTON P&R-; CARLIN HALL PS & TOT CAMP","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=16610;search_require_client_code-2106=1;search_require_client_code-2101=1","5711 S. 4th StreetARLINGTON, VA  22204","Child Day Center","Two Year","20","3 years-5 years11 months"
22,"AUMC Child Development Center","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=20535;search_require_client_code-2106=1;search_require_client_code-2101=1","6935 Columbia PikeANNANDALE, VA  22003","Child Day Center","Two Year","73","3 months-5 years11 months"
23,"Abby\'s Ark Early Learning Center","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=31477;search_require_client_code-2106=1;search_require_client_code-2101=1","601 Washington StreetPORTSMOUTH, VA  23704","Child Day Center","Two Year","42","2 years11 months-12 years11 months"
24,"Abingdon Child Development Center","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=13975;search_require_client_code-2106=1;search_require_client_code-2101=1","152 Highland StreetABINGDON, VA  24210","Child Day Center","Two Year","60","3 years-5 years11 months"
25,"Abingdon Child Development Center-Early Start","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=29653;search_require_client_code-2106=1;search_require_client_code-2101=1","152 Highland StreetABINGDON, VA  24210","Child Day Center","Two Year","20","1 month-3 years11 months"
26,"Abracadabra Child Care & Developement center","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=8712;search_require_client_code-2106=1;search_require_client_code-2101=1","6 West Masonic ViewALEXANDRIA, VA  22301","Child Day Center","Two Year","76","1 year8 months-5 years11 months"
27,"Abundant Love Child Development Center","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=37761;search_require_client_code-2106=1;search_require_client_code-2101=1","1543 Holly Grove DriveBUMPASS, VA  23024","Child Day Center","Two Year","40","Birth-12 years11 months"
28,"Abundant Love Learning Center - Louisa","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=42096;search_require_client_code-2106=1;search_require_client_code-2101=1","522 Industrial DriveLOUISA, VA  23093","Child Day Center","Two Year","32","1 year6 months-9 years11 months"
